Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,python_yn,R_yn,spark,aws,excel
People Analytics Data Scientist,Employer Provided Salary:$51K - $124K,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives. PayPal is looking for a Data Scientist to join the fast-growing People Analytics organization. The Data Scientist will conduct research and provide analytical solutions to enable PayPal leaders to make evidence-based decisions. The Data Scientist will partner closely with other People Analytics Consultants on the team and the engineering team to build scalable products for the enterprise.
PayPal is committed to fair and equitable compensation practices.

Actual Compensation is based on various factors including but not limited to work location, and relevant skills and experience.

The total compensation for this practice may include an annual performance bonus (or other incentive compensation, as applicable), equity, and medical, dental, vision, and other benefits. For more information, visit https://www.paypalbenefits.com.

The U.S. national annual pay range for this role is $51100 to $123750







Show More
Report",3.9,"PayPal
3.9","San Jose, CA","San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1,0,1,51,124,87.5,"PayPal
", CA,1,0,0,0,0,0
Data Scientist,Employer Provided Salary:$128K,"Aetna Resources LLC, a CVS Health company, is hiring for the following role in New York, NY: Data Scientist to develop and implement analytics applications and models to transform data into meaningful information. Duties include: design and develop data solutions using industry leading tools, technologies and best practices to profile data and develop efficient ingestion by sourcing data from PBM, Specialty, Retail, and/or HealthCare business; develop advanced algorithms and statistical predictive models to evaluate scenarios, predict outcomes, and provide usable information on health metrics and potential future outcomes; utilize data mining, data modeling, natural language processing, and machine learning to extract and manipulate data from multiple large data sources and deliver predictive models that inform solutions for in-house teams (i.e. pharmacy pricing, medical costs, risk scores, onboarding) and customer engagement across critical journeys (i.e. calories, heart rate, breast cancer, maternity); utilize data-oriented programming languages and visualization software to explore, analyze, and interpret large volumes of data in various forms and solve complex business problems; visualize and interpret data and create reports, manipulate data using statistical software, and compare models using statistical performance metrics; and support deployment of insights across multiple channels using analysis methods, machine learning, and statistical analyses. Multiple openings.


The typical pay range for this role is:
Minimum: 128087
Maximum: 128087

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.


Master’s degree (or foreign equivalent) in Computer Science, Data Science, Statistics, Mathematics, Analytics, or a related field and one (1) year of experience in the job offered or related occupation. Requires one (1) year of experience in each of the following: Analytics experience within the retail and/or healthcare industries; Machine learning, statistical analysis, and predictive modeling; Programming in R, Hadoop, Python, or SQL; Visualization tools, including PowerBI or Tableau; and “Big data” platforms including Hadoop (Azure, GCP, or AWS).


See Required Qualifications.


See Required Qualifications.


Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.
Show More
Report",3.1,"CVS Health
3.1","New York, NY","New York, NY",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),-1,0,1,128,128,128.0,"CVS Health
", NY,1,1,0,0,1,0
Junior Data Scientist/ Data Analytics - Full Time Position,$73K - $111K (Glassdoor est.),"Job Type:
Full Time
Locaton:
Little Elm, TX
Job Id:
RSA - 1021
Experience:
Posted Date:
12/22/2021


Show More
Report",5.0,"RSA Tech
5.0","Little Elm, TX","Little Elm, TX",51 to 200 Employees,Company - Public,Unknown / Non-Applicable,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),-1,0,0,73,111,92.0,"RSA Tech
", TX,1,0,0,0,0,0
Data Scientist,$73K - $111K (Glassdoor est.),"THIS IS BLUE APRON

Chefs around the world wear blue aprons when learning to cook, and for us it has become a symbol of lifelong learning. Our highly motivated group of food enthusiasts are inspired to work on complex business problems with creativity and passion, always looking to learn something new. We take preparation seriously, embrace a spirit of excellence, and put in the extra effort in everything we do. We are thrilled to be part of our customers’ lives, cooking and creating experiences in their home kitchens.

WHO'S IN THE KITCHEN
The Data Scientist will drive efforts to manage and improve Blue Apron’s evolving demand and revenue forecasting process. The candidate will work towards improving all aspects of forecasting demand, including evolving and refining Blue Apron’s short and long term models, interpreting the impact of new product releases, continuing to develop Blue Apron’s forecasting SOP, and actively managing the communication of demand on a weekly basis to company executives. You will work closely with the Operations, Finance, and Analytics teams to interpret customer habits and preferences, and will also interface with other stakeholders in the organization to optimally connect supply considerations with demand. Candidates will be motivated self-starters with highly analytical quantitative experience, comfortable with navigating and manipulating large models as well as thinking through new questions that frequently arise in a fast-moving environment. They will also possess strong verbal and communications skills, required in interfacing with varied project teams across the company. They will shape the direction and efforts of improving the predictability and visibility of the company’s demand.

Candidates will be motivated self-starters who are comfortable navigating large datasets, building and/or interpreting predictive models, partnering with technical teams, and understanding customer demand signals. They will be intimately familiar with advanced statistical testing methodology and interpretation. They will be comfortable presenting findings through both verbal and written formats. Candidates will feel confident in their abilities to influence decision making at the highest levels, understand requirements in working with cross functional teams, and be confident in presenting to individuals of all levels throughout the company.
WHAT'S ON THE MENU
NECESSARY INGREDIENTS
Blue Apron provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, genetics, marital status or veteran status. In addition to federal law requirements, Blue Apron complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.
Show More
Report",3.6,"Blue Apron
3.6","New York, NY","New York, NY",1001 to 5000 Employees,2012,Company - Public,Food & Beverage Stores,Retail & Wholesale,$100 to $500 million (USD),-1,0,0,73,111,92.0,"Blue Apron
", NY,1,0,0,0,1,1
Data Scientist,$73K - $111K (Glassdoor est.),"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It’s where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you’ll be challenged to take on work that upholds this mission and pushes Pinterest forward. You’ll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Our new progressive work model is called PinFlex, a term that’s uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more.
As a Data Scientist you will shape the future of people-facing and business-facing products we build at Pinterest. Your expertise in quantitative modeling, experimentation and algorithms will be utilized to solve some of the most complex engineering challenges at the company. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Design, Research, Product Analytics, Data Engineering and others. The results of your work will influence and uplevel our product development teams while introducing greater scientific rigor into the real world products serving hundreds of millions of pinners, creators, advertisers and merchants around the world.

Not Specified
0
Show More
Report",4.0,"Pinterest
4.0",Remote,Remote,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),-1,0,0,73,111,92.0,"Pinterest
",Remote,1,0,0,0,0,0
Data Scientist - REMOTE,Employer Provided Salary:$146K,"Company :
Highmark Inc.
Job Description :
JOB SUMMARY
This is an excellent opportunity to join advanced analytics & insights team that delivers key insights, business intelligence, self-service tools, and dashboards to business partners in Highmark’s Pharmacy Services Organization. The organization oversees the strategic and analytic vision for managing drug spend. The team comprises of decision support analysts, business intelligence engineers and data scientists. The key responsibilities include performing pharmacy real-world evidence studies, creating experimental design & statistical analysis and building data science products using Rshiny or any of the Python web framework.
$78,900.00
$146,000.00
Show More
Report",3.7,"Highmark Inc.
3.7",Pennsylvania,Pennsylvania,10000+ Employees,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),$100 to $500 million (USD),-1,0,1,146,146,146.0,"Highmark Inc.
",Pennsylvania,1,1,0,0,0,1
Sr Data Scientist,Employer Provided Salary:$153K,"Aetna Resources LLC, a CVS Health company, is hiring for the following role in New York, NY: Sr. Data Scientist to develop and implement analytics applications and models to transform data into meaningful information. Duties include: design and develop data solutions using industry leading tools, technologies and best practices to profile data and develop efficient ingestion by sourcing data from PBM, Specialty, Retail, and/or HealthCare business; develop advanced algorithms and statistical predictive models to evaluate scenarios, predict outcomes, and provide usable information on health metrics and potential future outcomes; utilize data mining, data modeling, natural language processing, and machine learning to extract and manipulate data from multiple large data sources and deliver predictive models that inform solutions for in-house teams (i.e. pharmacy pricing, medical costs, risk scores, onboarding) and customer engagement across critical journeys (i.e. calories, heart rate, breast cancer, maternity); utilize data-oriented programming languages and visualization software to explore, analyze, and interpret large volumes of data in various forms and solve complex business problems; visualize and interpret data and create reports, manipulate data using statistical software, and compare models using statistical performance metrics; support deployment of insights across multiple channels using analysis methods, machine learning, and statistical analyses; and mentor junior team members. Multiple positions.


The typical pay range for this role is:
Minimum: 153113
Maximum: 153113

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.


Master’s degree (or foreign equivalent) in Computer Science, Data Science, Statistics, Mathematics, Analytics, or a related field and two (2) years of experience in the job offered or related occupation. Requires two (2) years of experience in each of the following: Analyzing large data sets from multiple data sources; Marketing analytics, clinical trials, or health research; Programming in R, Hadoop, or Python; Visualization tools, including PowerBI or Tableau; and Designing data models and solutions for analytical and reporting use cases.


See Required Qualifications.


See Required Qualifications.


Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.
Show More
Report",3.1,"CVS Health
3.1","New York, NY","New York, NY",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),-1,0,1,153,153,153.0,"CVS Health
", NY,1,1,0,0,0,0
Data Scientist,Employer Provided Salary:$153K,"JOB SUMMARY
Responsible for developing data-driven solutions to Charter’s business problems. Utilizes analytical, statistical, and programming skills to clean, aggregate, and analyze large data sets and interpret results. This position requires a strong command of statistical techniques and machine learning algorithms, as well as a demonstrated practical ability to determine where to invest time, synthesize actionable findings across diverse assignments, and present findings to audiences with diverse agendas and varying levels of technical expertise.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently supports all efforts to simplify and enhance the customer experience.

Participate in the execution of the complete analytics life-cycle for problem solving, including: requirements gathering, problem formulation, data grooming, data exploration, model prototyping, model validation, and algorithm productionalization.

Leverage knowledge in analytical and statistical algorithms to help stakeholders explore methods to improve their business.

Partner on the design and implementation of statistical data quality procedures for existing and new data sources.

Communicate complex data science solutions, concepts, and analyses in a clear and effective manner to team members and business leaders.

Establish links across existing data sources and find new, interesting data correlations.

Present data insights and recommendations to key stakeholders.

Achieve defined project goals within deadlines; proactively communicate status and escalate issues as needed.

Ensure testing and validation are components of all analytics solutions.



Ability to read, write, speak and understand English
Effective communication, verbal and written, relationship management, and customer service skills with a focus on working effectively in a team environment
Ability to work with minimum supervision
Experience with analytical and statistical software
Experience using a data science toolkit such as Python or R
Comprehensive level SQL skills
Demonstrated effective analytical and problem solving skills with attention to detail and data accuracy
Ability to perform in-depth and independent research and analysis
Ability to maintain confidentiality and appropriately handle sensitive information
In-depth knowledge of core computer science principles including algorithms, data structures, and design methodologies
Prior exposure to cloud-based infrastructures
Experience with big data tools such as Spark and Hive


Bachelor's degree in computer science, statistics, operations research and/or equivalent combination of education and experience


Data Analytics - 3
Programming experience - 2


Office Environment BDA303 336147 336147BR
Show More
Report",3.3,"Spectrum
3.3","Stamford, CT","Stamford, CT",10000+ Employees,2016,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),-1,0,1,153,153,153.0,"Spectrum
", CT,1,1,0,1,0,0
Data Scientist (All Levels),$77K - $118K (Glassdoor est.),"Responsibilities:
Noblis is seeking to hire Data Scientists (All Levels) in Reston, VA

As a Data Scientist with our team, you will be working with our federal clients to rapidly develop innovative proof of concept and prototype solutions for our clients’ immediate mission challenges. In your role, you will work on multiple projects with teams of other data scientists, software developers, and SMEs to apply the best practices and state of the art data science and machine learning processes. As a data scientist you will be working closely with federal clients providing services to develop AI/ML models and weights to selected data to facilitate object detection, data triage, search/optimization, inference, facial recognition, behavior detection, and automated discovery and decision making, maintaining model versioning system and experience identifying new vulnerabilities in models.

On our team, you will:
Qualifications:

Client Engagement: · Learn about and support Noblis’ client engagement, corporate values, and corporate strategic priorities, including providing input to proposal writers. · Build a productive relationship with your client and understand their structure and goals. · Participate in the proposal process by providing input to proposal writers. Overview:






Show More
Report",4.5,"Noblis
4.5","Reston, VA","Reston, VA",1001 to 5000 Employees,1996,Nonprofit Organization,Business Consulting,Management & Consulting,$100 to $500 million (USD),-1,0,0,77,118,97.5,"Noblis
", VA,1,0,0,0,0,0
Data Scientist,Employer Provided Salary:$94K - $103K,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Show More
Report",4.5,KesarWeb,"Portland, OR","Portland, OR",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,Business Consulting,Management & Consulting,$100 to $500 million (USD),-1,0,1,94,103,98.5,Kesar, OR,1,0,0,0,0,0
